Orgunit ID,Data ID,Orgunit name,Data,21-Jan,21-Feb,21-Mar,21-Apr,21-May,21-Jun,21-Jul,21-Aug,21-Sep,21-Oct,21-Nov,21-Dec,Max Z score,Max modified Z score,Gap weight,Outlier weight,Total weight
kphDeKClFch,qw7eJpLE3vK,Turkana County,MOH 731   Negative_Total HV01-27,12765,12042,13806,10701,10406,11877,11295,21416,23731,12324,12413,9851,2.32,6.57,0,21651,21651
pZqQRRW7PHP,qw7eJpLE3vK,Uasin Gishu County,MOH 731   Negative_Total HV01-27,7350,8445,9445,7559,8141,4776,7380,7331,8611,7502,5652,3566,2.13,3.07,0,3906,3906
sANMZ3lpqGs,qw7eJpLE3vK,Vihiga County,MOH 731   Negative_Total HV01-27,3637,3514,5149,4726,3945,2560,3428,3513,3899,2776,2834,2759,2,1.99,0,1732,1732
CeLsrJOH0g9,qw7eJpLE3vK,Wajir County,MOH 731   Negative_Total HV01-27,624,1312,890,910,807,938,895,766,971,768,858,711,2.57,3.6,0,481,481
vvOK1BxTbet,dlldM4hP2Wk,Baringo County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,46,58,81,50,38,22,72,60,72,58,57,58,2.14,2.43,0,37,37
HMNARUV2CW4,dlldM4hP2Wk,Bomet County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,120,134,148,101,73,34,107,93,132,94,98,74,2.13,1.92,0,73,73
Tvf1zgVZ0K4,dlldM4hP2Wk,Busia County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,202,197,303,213,171,129,203,217,173,147,154,123,2.4,2.7,0,128,128
PFu8alU2KWG,dlldM4hP2Wk,Embu County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,51,72,125,65,59,47,99,77,88,45,89,68,2.18,2.01,0,56,56
bzOfj0iwfDH,dlldM4hP2Wk,Isiolo County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,24,30,18,19,12,15,10,14,36,9,10,3,2.05,3.22,0,21,21
qKzosKQPl6G,dlldM4hP2Wk,Kiambu County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,375,431,435,434,405,349,389,377,333,353,382,252,2.4,3.02,0,136,136
nrI2khZx3d0,dlldM4hP2Wk,Kilifi County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,229,244,286,206,220,250,231,266,344,274,238,143,2.09,3.02,0,2,2
Ulj33KBau7V,dlldM4hP2Wk,Kirinyaga County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,74,80,122,88,96,62,98,73,86,79,102,61,2.1,2.29,0,40,40
j8o6iO4Njsi,dlldM4hP2Wk,Kitui County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,182,244,255,166,161,156,172,163,116,159,180,127,2.01,5.09,0,183,183
NjWSbQTwys4,dlldM4hP2Wk,Lamu County,MOH 731   Positive_Total   (Sum  HV01-18 to  HV01-25) HV01-26,7,11,22,17,12,14,9,13,17,15,14,15,2.07,2.16,0,9,9
