county,year,month,value
Wajir County,2019,7,141
West Pokot County,2019,7,21387
Baringo County,2019,8,5465
Bomet County,2019,8,665
Bungoma County,2019,8,70966
Busia County,2019,8,76358
Elgeyo Marakwet County,2019,8,1324
Embu County,2019,8,291
Garissa County,2019,8,344
Homa Bay County,2019,8,21442
Isiolo County,2019,8,683
Kajiado County,2019,8,965
Kakamega County,2019,8,93800
Kericho County,2019,8,3372
Kiambu County,2019,8,1786
Kilifi County,2019,8,19609
Kirinyaga County,2019,8,154
Kisii County,2019,8,15895
Kisumu County,2019,8,46156
Kitui County,2019,8,1051
Kwale County,2019,8,14294
Laikipia County,2019,8,238
Lamu County,2019,8,36
Machakos County,2019,8,3031
Makueni County,2019,8,1413
Mandera County,2019,8,851
Marsabit County,2019,8,673
Meru County,2019,8,1353
Migori County,2019,8,45403
Mombasa County,2019,8,6559
Muranga County,2019,8,116
Nairobi County,2019,8,7134
Nakuru County,2019,8,4358
Nandi County,2019,8,10284
Narok County,2019,8,4020
Nyamira County,2019,8,1861
Nyandarua County,2019,8,176
Nyeri County,2019,8,110
Samburu County,2019,8,791
Siaya County,2019,8,108026
Taita Taveta County,2019,8,152
Tana River County,2019,8,738
Tharaka Nithi County,2019,8,584
Trans Nzoia County,2019,8,9260
Turkana County,2019,8,56327
Uasin Gishu County,2019,8,3722
Vihiga County,2019,8,42002
Wajir County,2019,8,78
West Pokot County,2019,8,22437
Baringo County,2019,9,12063
Bomet County,2019,9,517
Bungoma County,2019,9,64043
Busia County,2019,9,59312
Elgeyo Marakwet County,2019,9,2691
Embu County,2019,9,306
Garissa County,2019,9,326
Homa Bay County,2019,9,23895
Isiolo County,2019,9,584
Kajiado County,2019,9,1114
Kakamega County,2019,9,78700
Kericho County,2019,9,3888
Kiambu County,2019,9,1366
Kilifi County,2019,9,21625
Kirinyaga County,2019,9,158
Kisii County,2019,9,16076
Kisumu County,2019,9,36022
Kitui County,2019,9,406
Kwale County,2019,9,17152
Laikipia County,2019,9,321
Lamu County,2019,9,66
Machakos County,2019,9,2635
Makueni County,2019,9,1166
Mandera County,2019,9,1175
Marsabit County,2019,9,822
Meru County,2019,9,1227
Migori County,2019,9,37022
Mombasa County,2019,9,8327
Muranga County,2019,9,97
Nairobi County,2019,9,6642
Nakuru County,2019,9,4551
Nandi County,2019,9,7822
Narok County,2019,9,4437
Nyamira County,2019,9,1852
Nyandarua County,2019,9,157
Nyeri County,2019,9,73
Samburu County,2019,9,847
Siaya County,2019,9,89137
Taita Taveta County,2019,9,117
Tana River County,2019,9,597
Tharaka Nithi County,2019,9,637
Trans Nzoia County,2019,9,8516
Turkana County,2019,9,43177
Uasin Gishu County,2019,9,3647
Vihiga County,2019,9,34352
Wajir County,2019,9,78
West Pokot County,2019,9,26320
Baringo County,2019,10,7569
Bomet County,2019,10,539
Bungoma County,2019,10,63795
Busia County,2019,10,49682
Elgeyo Marakwet County,2019,10,5152
Embu County,2019,10,439
Garissa County,2019,10,791
Homa Bay County,2019,10,22424
Isiolo County,2019,10,425
Kajiado County,2019,10,773
Kakamega County,2019,10,67140
Kericho County,2019,10,3440
Kiambu County,2019,10,918
Kilifi County,2019,10,19022
Kirinyaga County,2019,10,99
Kisii County,2019,10,14637
Kisumu County,2019,10,37152
Kitui County,2019,10,1526
Kwale County,2019,10,15557
Laikipia County,2019,10,332
Lamu County,2019,10,75
Machakos County,2019,10,1764
Makueni County,2019,10,1357
Mandera County,2019,10,947
Marsabit County,2019,10,686
Meru County,2019,10,1160
Migori County,2019,10,34330
Mombasa County,2019,10,8542
Muranga County,2019,10,49
Nairobi County,2019,10,5434
Nakuru County,2019,10,5072
Nandi County,2019,10,7316
Narok County,2019,10,4053
Nyamira County,2019,10,3081
Nyandarua County,2019,10,142
Nyeri County,2019,10,92
Samburu County,2019,10,763
Siaya County,2019,10,65687
Taita Taveta County,2019,10,156
Tana River County,2019,10,665
Tharaka Nithi County,2019,10,449
Trans Nzoia County,2019,10,12883
Turkana County,2019,10,27452
Uasin Gishu County,2019,10,4398
Vihiga County,2019,10,29328
Wajir County,2019,10,88
West Pokot County,2019,10,20429
Baringo County,2019,11,5410
Bomet County,2019,11,506
Bungoma County,2019,11,39232
Busia County,2019,11,31785
Elgeyo Marakwet County,2019,11,2775
Embu County,2019,11,308
Garissa County,2019,11,729
Homa Bay County,2019,11,18949
Isiolo County,2019,11,721
Kajiado County,2019,11,913
Kakamega County,2019,11,58060
Kericho County,2019,11,2237
Kiambu County,2019,11,1229
Kilifi County,2019,11,26831
Kirinyaga County,2019,11,75
Kisii County,2019,11,12655
Kisumu County,2019,11,36559
Kitui County,2019,11,1377
Kwale County,2019,11,22995
Laikipia County,2019,11,182
Lamu County,2019,11,34
Machakos County,2019,11,2135
